image_path,plate_text
140x70_dataset/train/ZHG-862-B_illumination_alpha0.25_beta0_001.jpg,ZHG-862-B
140x70_dataset/train/ZH9-218-T_iso_noise_intensity25_001_1.jpg,ZH9-218-T
140x70_dataset/train/TFT-890-S_random_fog_fog_intensity0.9_001_1.jpg,TFT-890-S
140x70_dataset/train/H7K-784-K_downscaleX75_scale0.75_001_1.jpg,H7K-784-K
140x70_dataset/train/Y7C-264-L_illumination_alpha0.25_beta0_001_1.jpg,Y7C-264-L
140x70_dataset/train/FW9-305-S_rotationx25_max_angle25_001_1.jpg,FW9-305-S
"140x70_dataset/train/D5S-308-M_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",D5S-308-M
140x70_dataset/train/GFL-255-F_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,GFL-255-F
"140x70_dataset/train/HNB-417-G_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",HNB-417-G
140x70_dataset/train/K3W-512-L_auto_contrast_cutoff0_001_1.jpg,K3W-512-L
140x70_dataset/train/UVD-421-X_random_occlusion_min_size45_max_size100_001_1.jpg,UVD-421-X
140x70_dataset/train/UN5-202-E_random_occlusion_min_size45_max_size100_001.jpg,UN5-202-E
140x70_dataset/train/DHZ-042-H_auto_contrast_cutoff0_001_1.jpg,DHZ-042-H
140x70_dataset/train/H7Y-385-L_scaleX50_min_scale0.5_max_scale0.5_001.jpg,H7Y-385-L
140x70_dataset/train/HPT-018-V_scaleX25_min_scale0.25_max_scale0.25_001_1.jpg,HPT-018-V
"140x70_dataset/train/ZHJ-995-M_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",ZHJ-995-M
140x70_dataset/train/D76-251-R_scaleX50_min_scale0.5_max_scale0.5_001.jpg,D76-251-R
140x70_dataset/train/HNU-090-F_rotationx75_max_angle75_001_1.jpg,HNU-090-F
140x70_dataset/train/UTS-770-U_downscaleX75_scale0.75_001_1.jpg,UTS-770-U
140x70_dataset/train/XVU-859-J_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,XVU-859-J
140x70_dataset/train/ZDC-567-W_rotationx25_max_angle25_001_1.jpg,ZDC-567-W
140x70_dataset/train/GML-30-UR_illumination_alpha0.25_beta0_001_1.jpg,GML-30-UR
140x70_dataset/train/DLP-749-A_random_occlusion_min_size45_max_size100_001.jpg,DLP-749-A
"140x70_dataset/train/DGX-088-W_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",DGX-088-W
"140x70_dataset/train/EZA-613-M_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",EZA-613-M
140x70_dataset/train/VFY-418-M_random_snow_intensity0.2_001_1.jpg,VFY-418-M
140x70_dataset/train/X7U-072-V_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,X7U-072-V
"140x70_dataset/train/UKB-959-N_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",UKB-959-N
140x70_dataset/train/KM4-923-D_perspectiveX70_max_tilt0.7_001.jpg,KM4-923-D
140x70_dataset/train/ZHR-891-X_random_occlusion_min_size45_max_size100_001_1.jpg,ZHR-891-X
140x70_dataset/train/PHA-688-N_downscaleX5_scale0.5_001_1.jpg,PHA-688-N
140x70_dataset/train/GRT-33-YZ_perspectiveX50_max_tilt0.5_001_1.jpg,GRT-33-YZ
140x70_dataset/train/DA8-757-V_rotationx25_max_angle25_001_1.jpg,DA8-757-V
"140x70_dataset/train/G17-475-C_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",G17-475-C
140x70_dataset/train/UNC-510-A_iso_noise_intensity25_001.jpg,UNC-510-A
140x70_dataset/train/YC1-078-S_glass_blur_iterations3_max_offset2_001_1.jpg,YC1-078-S
140x70_dataset/train/TZ2-996-H_downscaleX25_scale0.25_001_1.jpg,TZ2-996-H
140x70_dataset/train/WTE-635-P_rotationx75_max_angle75_001_1.jpg,WTE-635-P
"140x70_dataset/train/FVD-843-T_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",FVD-843-T
140x70_dataset/train/V02-787-L_perspectiveX70_max_tilt0.7_001_1.jpg,V02-787-L
140x70_dataset/train/V77-Y5V_random_snow_intensity0.2_001.jpg,V77-Y5V
140x70_dataset/train/B7U-619-N_iso_noise_intensity25_001_1.jpg,B7U-619-N
140x70_dataset/train/EF2-241-W_scaleX25_min_scale0.25_max_scale0.25_001_1.jpg,EF2-241-W
140x70_dataset/train/ADT-274-P_defocus_blur_kernel_size15_001_1.jpg,ADT-274-P
140x70_dataset/train/HRC-251-U_perspectiveX70_max_tilt0.7_001_1.jpg,HRC-251-U
140x70_dataset/train/D8J-120-K_perspectiveX70_max_tilt0.7_001_1.jpg,D8J-120-K
140x70_dataset/train/V0U-018-S_random_fog_fog_intensity0.9_001_1.jpg,V0U-018-S
140x70_dataset/train/ZG0-452-F_auto_contrast_cutoff0_001_1.jpg,ZG0-452-F
140x70_dataset/train/X3Z-689-H_random_shadow_opacity0.3_001_1.jpg,X3Z-689-H
140x70_dataset/train/WTT-410-W_iso_noise_intensity25_001_1.jpg,WTT-410-W
140x70_dataset/train/HAT-497-N_auto_contrast_cutoff0_001_1.jpg,HAT-497-N
140x70_dataset/train/R32-971-F_defocus_blur_kernel_size15_001_1.jpg,R32-971-F
140x70_dataset/train/XJE-411-F_glass_blur_iterations3_max_offset2_001_1.jpg,XJE-411-F
140x70_dataset/train/UCS-892-L_illumination_alpha0.25_beta0_001_1.jpg,UCS-892-L
140x70_dataset/train/RGC-918-G_perspectiveX70_max_tilt0.7_001_1.jpg,RGC-918-G
140x70_dataset/train/FFU-903-R_scaleX50_min_scale0.5_max_scale0.5_001_1.jpg,FFU-903-R
140x70_dataset/train/Z3G-536-S_defocus_blur_kernel_size15_001_1.jpg,Z3G-536-S
140x70_dataset/train/GMG-24-XU_random_snow_intensity0.2_001_1.jpg,GMG-24-XU
140x70_dataset/train/L6R-819-A_iso_noise_intensity25_001_1.jpg,L6R-819-A
140x70_dataset/train/UM1-149-N_random_shadow_opacity0.3_001_1.jpg,UM1-149-N
140x70_dataset/train/PWF-961-K_iso_noise_intensity25_001_1.jpg,PWF-961-K
140x70_dataset/train/D76-251-R_iso_noise_intensity25_001_1.jpg,D76-251-R
140x70_dataset/train/TNY-826-K_scaleX75_min_scale0.75_max_scale0.75_001_1.jpg,TNY-826-K
140x70_dataset/train/DPZ-335-A_downscaleX5_scale0.5_001_1.jpg,DPZ-335-A
140x70_dataset/train/GHP-45-UF_perspectiveX50_max_tilt0.5_001_1.jpg,GHP-45-UF
140x70_dataset/train/UDN-820-S_rotationx50_max_angle50_001_1.jpg,UDN-820-S
140x70_dataset/train/R3E-449-C_rotationx25_max_angle25_001_1.jpg,R3E-449-C
140x70_dataset/train/USN-696-C_iso_noise_intensity25_001_1.jpg,USN-696-C
140x70_dataset/train/RV4-273-B_rotationx75_max_angle75_001_1.jpg,RV4-273-B
140x70_dataset/train/VD6-821-T_rotationx50_max_angle50_001_1.jpg,VD6-821-T
"140x70_dataset/train/WVA-922-D_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",WVA-922-D
140x70_dataset/train/ACD-659-V_perspectiveX50_max_tilt0.5_001.jpg,ACD-659-V
140x70_dataset/train/DNV-080-C_motion_blur_kernel_size15_001_1.jpg,DNV-080-C
140x70_dataset/train/UWS-343-M_dithering_bits4_001_1.jpg,UWS-343-M
140x70_dataset/train/VY0-016-F_illumination_alpha0.25_beta0_001.jpg,VY0-016-F
140x70_dataset/train/XUU-779-B_scaleX25_min_scale0.25_max_scale0.25_001_1.jpg,XUU-779-B
140x70_dataset/train/GRB-98-JB_motion_blur_kernel_size15_001_1.jpg,GRB-98-JB
140x70_dataset/train/DFB-212-D_random_snow_intensity0.2_001.jpg,DFB-212-D
140x70_dataset/train/Z73-673-D_defocus_blur_kernel_size15_001_1.jpg,Z73-673-D
140x70_dataset/train/UP7-269-Y_rotationx75_max_angle75_001_1.jpg,UP7-269-Y
140x70_dataset/train/HNB-509-R_auto_contrast_cutoff0_001.jpg,HNB-509-R
140x70_dataset/train/UVR-498-A_downscaleX5_scale0.5_001_1.jpg,UVR-498-A
140x70_dataset/train/RFE-941-S_perspectiveX50_max_tilt0.5_001.jpg,RFE-941-S
"140x70_dataset/train/DNH-179-R_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",DNH-179-R
140x70_dataset/train/ND4-527-Y_perspectiveX50_max_tilt0.5_001.jpg,ND4-527-Y
140x70_dataset/train/JC0-246-H_perspectiveX35_max_tilt0.35_001_1.jpg,JC0-246-H
140x70_dataset/train/VKC-527-X_glass_blur_iterations3_max_offset2_001_1.jpg,VKC-527-X
140x70_dataset/train/SR9-607-V_random_occlusion_min_size45_max_size100_001_1.jpg,SR9-607-V
140x70_dataset/train/H91-881-K_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,H91-881-K
"140x70_dataset/train/PMG-482-M_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",PMG-482-M
140x70_dataset/train/ZDY-718-L_perspectiveX50_max_tilt0.5_001_1.jpg,ZDY-718-L
"140x70_dataset/train/GD3-717-D_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",GD3-717-D
140x70_dataset/train/XGD-359-W_random_occlusion_min_size45_max_size100_001_1.jpg,XGD-359-W
140x70_dataset/train/PN9-909-M_downscaleX75_scale0.75_001_1.jpg,PN9-909-M
140x70_dataset/train/KNM-063-E_rotationx25_max_angle25_001_1.jpg,KNM-063-E
140x70_dataset/train/DMN-891-S_dithering_bits4_001_1.jpg,DMN-891-S
140x70_dataset/train/DJC-100-M_scaleX25_min_scale0.25_max_scale0.25_001_1.jpg,DJC-100-M
140x70_dataset/train/T23-4PG_defocus_blur_kernel_size15_001_1.jpg,T23-4PG
"140x70_dataset/train/U21-GVE_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001.jpg",U21-GVE
140x70_dataset/train/L5D-236-U_rotationx25_max_angle25_001_1.jpg,L5D-236-U
140x70_dataset/train/ULF-384-T_rotationx75_max_angle75_001.jpg,ULF-384-T
140x70_dataset/train/RJK-998-U_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,RJK-998-U
140x70_dataset/train/SL6-534-E_random_fog_fog_intensity0.9_001_1.jpg,SL6-534-E
140x70_dataset/train/CZG-353-C_defocus_blur_kernel_size15_001_1.jpg,CZG-353-C
"140x70_dataset/train/F6Z-852-Z_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",F6Z-852-Z
140x70_dataset/train/DG9-367-C_motion_blur_kernel_size15_001_1.jpg,DG9-367-C
140x70_dataset/train/F51-315-G_iso_noise_intensity25_001_1.jpg,F51-315-G
140x70_dataset/train/V3V-528-N_iso_noise_intensity25_001_1.jpg,V3V-528-N
140x70_dataset/train/DPB-160-B_perspectiveX50_max_tilt0.5_001_1.jpg,DPB-160-B
140x70_dataset/train/XAD-112-U_rotationx50_max_angle50_001_1.jpg,XAD-112-U
"140x70_dataset/train/DRJ-482-G_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",DRJ-482-G
140x70_dataset/train/WT6-420-S_glass_blur_iterations3_max_offset2_001.jpg,WT6-420-S
140x70_dataset/train/DKF-435-C_perspectiveX35_max_tilt0.35_001_1.jpg,DKF-435-C
140x70_dataset/train/WTE-635-P_scaleX50_min_scale0.5_max_scale0.5_001.jpg,WTE-635-P
140x70_dataset/train/K8G-828-H_scaleX25_min_scale0.25_max_scale0.25_001.jpg,K8G-828-H
140x70_dataset/train/AB4-025-K_random_shadow_opacity0.3_001_1.jpg,AB4-025-K
140x70_dataset/train/X9F-106-Z_perspectiveX35_max_tilt0.35_001_1.jpg,X9F-106-Z
"140x70_dataset/train/VRB-381-U_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",VRB-381-U
140x70_dataset/train/U16-Y1E_rotationx75_max_angle75_001_1.jpg,U16-Y1E
140x70_dataset/train/TJ0-128-V_random_fog_fog_intensity0.9_001.jpg,TJ0-128-V
140x70_dataset/train/HGM-489-P_downscaleX75_scale0.75_001_1.jpg,HGM-489-P
"140x70_dataset/train/E29-052-T_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",E29-052-T
140x70_dataset/train/GTH-80-LM_iso_noise_intensity25_001_1.jpg,GTH-80-LM
140x70_dataset/train/XCS-527-C_iso_noise_intensity25_001_1.jpg,XCS-527-C
140x70_dataset/train/VTV-976-F_iso_noise_intensity25_001_1.jpg,VTV-976-F
140x70_dataset/train/EV7-176-N_random_occlusion_min_size45_max_size100_001_1.jpg,EV7-176-N
"140x70_dataset/train/S2F-104-Z_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",S2F-104-Z
140x70_dataset/train/TJY-297-T_rotationx25_max_angle25_001.jpg,TJY-297-T
"140x70_dataset/train/EMV-335-L_random_sun_flare_radius_range(50, 150)_intensity1.0_001.jpg",EMV-335-L
140x70_dataset/train/NLP-714-A_motion_blur_kernel_size15_001_1.jpg,NLP-714-A
140x70_dataset/train/RDU-684-T_dithering_bits4_001.jpg,RDU-684-T
"140x70_dataset/train/U5U-758-V_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",U5U-758-V
140x70_dataset/train/WUF-806-H_random_occlusion_min_size45_max_size100_001_1.jpg,WUF-806-H
140x70_dataset/train/VRW-582-L_iso_noise_intensity25_001_1.jpg,VRW-582-L
140x70_dataset/train/N3T-695-H_rotationx25_max_angle25_001_1.jpg,N3T-695-H
"140x70_dataset/train/CZC-780-C_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",CZC-780-C
140x70_dataset/train/Z2W-013-X_scaleX50_min_scale0.5_max_scale0.5_001_1.jpg,Z2W-013-X
140x70_dataset/train/HM3-274-U_random_occlusion_min_size45_max_size100_001_1.jpg,HM3-274-U
140x70_dataset/train/TPB-520-E_defocus_blur_kernel_size15_001_1.jpg,TPB-520-E
140x70_dataset/train/XZL-099-J_dithering_bits4_001_1.jpg,XZL-099-J
"140x70_dataset/train/H33-092-P_equalize_clip_limit2.0_grid_size(8, 8)_001.jpg",H33-092-P
140x70_dataset/train/URA-641-N_channel_dropout_drop_probability0.33_001_1.jpg,URA-641-N
140x70_dataset/train/USS-593-T_perspectiveX70_max_tilt0.7_001_1.jpg,USS-593-T
140x70_dataset/train/UPW-297-C_random_fog_fog_intensity0.9_001_1.jpg,UPW-297-C
140x70_dataset/train/XE2-377-P_channel_dropout_drop_probability0.33_001_1.jpg,XE2-377-P
140x70_dataset/train/HH8-560-D_perspectiveX70_max_tilt0.7_001.jpg,HH8-560-D
140x70_dataset/train/VK3-760-T_downscaleX75_scale0.75_001_1.jpg,VK3-760-T
140x70_dataset/train/EXP-837-J_scaleX75_min_scale0.75_max_scale0.75_001_1.jpg,EXP-837-J
140x70_dataset/train/UUC-611-N_random_shadow_opacity0.3_001_1.jpg,UUC-611-N
140x70_dataset/train/G5R-923-T_scaleX50_min_scale0.5_max_scale0.5_001_1.jpg,G5R-923-T
140x70_dataset/train/FKG-372-E_rotationx50_max_angle50_001.jpg,FKG-372-E
140x70_dataset/train/RJL-303-N_channel_dropout_drop_probability0.33_001_1.jpg,RJL-303-N
140x70_dataset/train/ATJ-475-Z_glass_blur_iterations3_max_offset2_001_1.jpg,ATJ-475-Z
140x70_dataset/train/GLS-63-KH_downscaleX5_scale0.5_001_1.jpg,GLS-63-KH
"140x70_dataset/train/Y92-495-R_equalize_clip_limit2.0_grid_size(8, 8)_001.jpg",Y92-495-R
140x70_dataset/train/Y1A-522-W_color_jitter_brightness1.2_contrast1.2_saturation1.2_001.jpg,Y1A-522-W
140x70_dataset/train/W9J-077-E_color_jitter_brightness1.2_contrast1.2_saturation1.2_001.jpg,W9J-077-E
140x70_dataset/train/THD-623-P_scaleX50_min_scale0.5_max_scale0.5_001_1.jpg,THD-623-P
"140x70_dataset/train/RRL-476-W_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",RRL-476-W
140x70_dataset/train/VZZ-145-M_scaleX75_min_scale0.75_max_scale0.75_001_1.jpg,VZZ-145-M
140x70_dataset/train/PNN-981-U_scaleX75_min_scale0.75_max_scale0.75_001_1.jpg,PNN-981-U
"140x70_dataset/train/WVA-922-D_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",WVA-922-D
140x70_dataset/train/TLP-528-B_downscaleX5_scale0.5_001_1.jpg,TLP-528-B
140x70_dataset/train/D92-697-A_iso_noise_intensity25_001_1.jpg,D92-697-A
140x70_dataset/train/UZL-803-Y_dithering_bits4_001_1.jpg,UZL-803-Y
140x70_dataset/train/FKG-372-E_perspectiveX50_max_tilt0.5_001_1.jpg,FKG-372-E
140x70_dataset/train/U56-169-V_channel_dropout_drop_probability0.33_001.jpg,U56-169-V
140x70_dataset/train/YFY-549-D_motion_blur_kernel_size15_001_1.jpg,YFY-549-D
140x70_dataset/train/NV9-076-N_downscaleX75_scale0.75_001_1.jpg,NV9-076-N
140x70_dataset/train/YPN-690-R_rotationx75_max_angle75_001_1.jpg,YPN-690-R
140x70_dataset/train/G51-41G_downscaleX25_scale0.25_001_1.jpg,G51-41G
140x70_dataset/train/D0R-397-C_scaleX75_min_scale0.75_max_scale0.75_001.jpg,D0R-397-C
140x70_dataset/train/GS3-23-SS_random_shadow_opacity0.3_001_1.jpg,GS3-23-SS
140x70_dataset/train/E0Y-327-X_scaleX25_min_scale0.25_max_scale0.25_001_1.jpg,E0Y-327-X
140x70_dataset/train/DP3-802-M_perspectiveX70_max_tilt0.7_001_1.jpg,DP3-802-M
140x70_dataset/train/UKM-181-S_random_shadow_opacity0.3_001_1.jpg,UKM-181-S
"140x70_dataset/train/FVW-563-C_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",FVW-563-C
140x70_dataset/train/DHE-327-B_illumination_alpha0.25_beta0_001_1.jpg,DHE-327-B
140x70_dataset/train/PR8-150-R_channel_dropout_drop_probability0.33_001_1.jpg,PR8-150-R
140x70_dataset/train/FY2-527-P_scaleX75_min_scale0.75_max_scale0.75_001_1.jpg,FY2-527-P
140x70_dataset/train/K3B-573-R_random_fog_fog_intensity0.9_001.jpg,K3B-573-R
140x70_dataset/train/ZHW-964-K_glass_blur_iterations3_max_offset2_001_1.jpg,ZHW-964-K
140x70_dataset/train/WU0-462-P_downscaleX5_scale0.5_001.jpg,WU0-462-P
140x70_dataset/train/FPF-819-P_channel_dropout_drop_probability0.33_001_1.jpg,FPF-819-P
140x70_dataset/train/XUD-981-H_auto_contrast_cutoff0_001_1.jpg,XUD-981-H
140x70_dataset/train/VFR-706-U_channel_dropout_drop_probability0.33_001.jpg,VFR-706-U
140x70_dataset/train/AF0-085-K_rotationx50_max_angle50_001.jpg,AF0-085-K
140x70_dataset/train/JG3-565-D_rotationx50_max_angle50_001_1.jpg,JG3-565-D
"140x70_dataset/train/Z10-420-T_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",Z10-420-T
140x70_dataset/train/DGR-431-S_glass_blur_iterations3_max_offset2_001_1.jpg,DGR-431-S
140x70_dataset/train/VHH-307-W_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,VHH-307-W
140x70_dataset/train/V51-055-B_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,V51-055-B
140x70_dataset/train/LFL-489-D_downscaleX75_scale0.75_001_1.jpg,LFL-489-D
"140x70_dataset/train/FUK-417-X_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",FUK-417-X
"140x70_dataset/train/RF2-058-L_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001.jpg",RF2-058-L
"140x70_dataset/train/DNA-275-J_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",DNA-275-J
"140x70_dataset/train/R46-823-A_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",R46-823-A
140x70_dataset/train/D88-092-C_dithering_bits4_001.jpg,D88-092-C
140x70_dataset/train/PFP-970-K_dithering_bits4_001.jpg,PFP-970-K
140x70_dataset/train/N5M-587-M_rotationx25_max_angle25_001_1.jpg,N5M-587-M
140x70_dataset/train/JYB-115-S_downscaleX5_scale0.5_001_1.jpg,JYB-115-S
140x70_dataset/train/RJ2-274-V_random_shadow_opacity0.3_001_1.jpg,RJ2-274-V
140x70_dataset/train/XVU-616-K_defocus_blur_kernel_size15_001.jpg,XVU-616-K
140x70_dataset/train/VG1-448-R_perspectiveX70_max_tilt0.7_001_1.jpg,VG1-448-R
140x70_dataset/train/XNZ-358-W_motion_blur_kernel_size15_001_1.jpg,XNZ-358-W
140x70_dataset/train/XFP-636-W_perspectiveX70_max_tilt0.7_001_1.jpg,XFP-636-W
140x70_dataset/train/D4P-992-D_scaleX50_min_scale0.5_max_scale0.5_001_1.jpg,D4P-992-D
"140x70_dataset/train/KLA-175-E_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001_1.jpg",KLA-175-E
"140x70_dataset/train/E15-5UW_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",E15-5UW
140x70_dataset/train/URM-310-L_scaleX75_min_scale0.75_max_scale0.75_001_1.jpg,URM-310-L
140x70_dataset/train/TK5-378-Y_downscaleX25_scale0.25_001_1.jpg,TK5-378-Y
140x70_dataset/train/ENT-930-U_perspectiveX70_max_tilt0.7_001_1.jpg,ENT-930-U
140x70_dataset/train/WVA-149-K_scaleX25_min_scale0.25_max_scale0.25_001_1.jpg,WVA-149-K
140x70_dataset/train/GSM-43-AH_rotationx75_max_angle75_001.jpg,GSM-43-AH
140x70_dataset/train/R7L-061-M_downscaleX25_scale0.25_001_1.jpg,R7L-061-M
140x70_dataset/train/D8D-578-C_rotationx25_max_angle25_001.jpg,D8D-578-C
140x70_dataset/train/PMT-067-G_scaleX25_min_scale0.25_max_scale0.25_001.jpg,PMT-067-G
"140x70_dataset/train/HMZ-594-D_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",HMZ-594-D
140x70_dataset/train/CEH-405-Z_defocus_blur_kernel_size15_001_1.jpg,CEH-405-Z
140x70_dataset/train/AD1-102-L_illumination_alpha0.25_beta0_001_1.jpg,AD1-102-L
140x70_dataset/train/RGE-373-D_random_occlusion_min_size45_max_size100_001_1.jpg,RGE-373-D
140x70_dataset/train/ABC-036-B_glass_blur_iterations3_max_offset2_001_1.jpg,ABC-036-B
140x70_dataset/train/TZV-425-K_random_shadow_opacity0.3_001_1.jpg,TZV-425-K
140x70_dataset/train/ADU-872-A_illumination_alpha0.25_beta0_001.jpg,ADU-872-A
140x70_dataset/train/V2K-140-Y_perspectiveX50_max_tilt0.5_001_1.jpg,V2K-140-Y
140x70_dataset/train/Y06-KGK_perspectiveX70_max_tilt0.7_001_1.jpg,Y06-KGK
140x70_dataset/train/YJR-195-B_channel_dropout_drop_probability0.33_001_1.jpg,YJR-195-B
"140x70_dataset/train/GL9-80-PX_spatter_num_spots30_radius_range(5, 15)_color(50, 50, 50)_001.jpg",GL9-80-PX
140x70_dataset/train/NFH-779-F_perspectiveX50_max_tilt0.5_001_1.jpg,NFH-779-F
"140x70_dataset/train/PN9-908-A_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",PN9-908-A
140x70_dataset/train/PLN-616-Z_perspectiveX50_max_tilt0.5_001_1.jpg,PLN-616-Z
140x70_dataset/train/UZT-477-D_auto_contrast_cutoff0_001_1.jpg,UZT-477-D
140x70_dataset/train/ZBJ-363-K_random_occlusion_min_size45_max_size100_001_1.jpg,ZBJ-363-K
140x70_dataset/train/FAP-796-U_glass_blur_iterations3_max_offset2_001_1.jpg,FAP-796-U
140x70_dataset/train/VKG-254-P_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,VKG-254-P
140x70_dataset/train/H7T-648-Y_random_fog_fog_intensity0.9_001_1.jpg,H7T-648-Y
140x70_dataset/train/D3T-282-P_perspectiveX50_max_tilt0.5_001_1.jpg,D3T-282-P
140x70_dataset/train/D95-5DG_scaleX50_min_scale0.5_max_scale0.5_001.jpg,D95-5DG
140x70_dataset/train/V70-KSY_dithering_bits4_001_1.jpg,V70-KSY
140x70_dataset/train/GX1-77-WD_defocus_blur_kernel_size15_001_1.jpg,GX1-77-WD
140x70_dataset/train/US5-702-P_downscaleX5_scale0.5_001.jpg,US5-702-P
140x70_dataset/train/GTU-79-TE_downscaleX75_scale0.75_001_1.jpg,GTU-79-TE
"140x70_dataset/train/V4L-091-L_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",V4L-091-L
140x70_dataset/train/VGJ-952-B_downscaleX5_scale0.5_001_1.jpg,VGJ-952-B
140x70_dataset/train/ULR-248-M_rotationx25_max_angle25_001_1.jpg,ULR-248-M
"140x70_dataset/train/THK-571-W_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",THK-571-W
140x70_dataset/train/FUN-204-F_perspectiveX70_max_tilt0.7_001_1.jpg,FUN-204-F
"140x70_dataset/train/YLY-660-Z_random_sun_flare_radius_range(50, 150)_intensity1.0_001_1.jpg",YLY-660-Z
140x70_dataset/train/VWU-928-M_perspectiveX70_max_tilt0.7_001.jpg,VWU-928-M
140x70_dataset/train/KLA-175-E_scaleX50_min_scale0.5_max_scale0.5_001_1.jpg,KLA-175-E
140x70_dataset/train/G37-JFX_perspectiveX35_max_tilt0.35_001_1.jpg,G37-JFX
